date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:14:20	24651/24651	U-----	200	untouched ('')	image/png	etag:%225aa66c79-604b%22	https://mop-shoot.tauri.hu/images/pets/types-medium.png	F:/git/mop-archive.portal/mop-archive/mop-shoot.tauri.hu/images/pets/types-medium.png	(from https://mop-shoot.tauri.hu/templates/wowhead/css/global.css?1520856185)
01:14:34	751/751	U-----	200	untouched ('')	image/png	etag:%225aa66c79-2ef%22	https://mop-shoot.tauri.hu/images/icons/border_gold.png	F:/git/mop-archive.portal/mop-archive/mop-shoot.tauri.hu/images/icons/border_gold.png	(from https://mop-shoot.tauri.hu/templates/wowhead/css/global.css?1520856185)
01:14:36	455/455	U-----	200	untouched ('')	image/gif	etag:%2258582c2f-1c7%22	https://mop-shoot.tauri.hu/templates/wowhead/images/enus/searchdatabase.gif	F:/git/mop-archive.portal/mop-archive/mop-shoot.tauri.hu/templates/wowhead/images/enus/searchdatabase.gif	(from https://mop-shoot.tauri.hu/templates/wowhead/css/locale_enus.css?1482173487)
01:14:40	4086/4086	U-----	200	untouched ('')	image/gif	etag:%2258582c2f-ff6%22	https://mop-shoot.tauri.hu/templates/wowhead/images/enus/screenshotviewer-picshures.gif?2	F:/git/mop-archive.portal/mop-archive/mop-shoot.tauri.hu/templates/wowhead/images/enus/screenshotviewer-picshuresc81e.gif	(from https://mop-shoot.tauri.hu/templates/wowhead/css/locale_enus.css?1482173487)
01:14:41	501851/501851	U-----	200	untouched ('')	image/png	etag:%2258a2de6d-7a85b%22	https://mop-shoot.tauri.hu/templates/wowhead/images/panda.png	F:/git/mop-archive.portal/mop-archive/mop-shoot.tauri.hu/templates/wowhead/images/panda.png	(from https://mop-shoot.tauri.hu/templates/wowhead/css/main.css?1487068781)
01:14:54	333769/333769	U-----	200	untouched ('')	image/jpeg	etag:%2258a2de6d-517c9%22	https://mop-shoot.tauri.hu/templates/wowhead/images/bg2.jpg	F:/git/mop-archive.portal/mop-archive/mop-shoot.tauri.hu/templates/wowhead/images/bg2.jpg	(from https://mop-shoot.tauri.hu/templates/wowhead/css/main.css?1487068781)
01:14:56	581/581	U-----	200	untouched ('')	image/gif	etag:%2258a2de6d-245%22	https://mop-shoot.tauri.hu/templates/wowhead/images/search5.gif	F:/git/mop-archive.portal/mop-archive/mop-shoot.tauri.hu/templates/wowhead/images/search5.gif	(from https://mop-shoot.tauri.hu/templates/wowhead/css/main.css?1487068781)
01:15:01	12993/12993	U-----	200	untouched ('OK')	text/css	etag:%225892fcf9-32c1%22	https://mop-shoot.tauri.hu/templates/wowhead/css/Mapper.css?1486028025	F:/git/mop-archive.portal/mop-archive/mop-shoot.tauri.hu/templates/wowhead/css/Mapper569a.css	(from https://mop-shoot.tauri.hu/?maps)
01:15:01	101082/101082	U-----	200	untouched ('')	application/javascript	etag:%22596a4956-18ada%22	https://mop-shoot.tauri.hu/templates/wowhead/js/Mapper.js?1500137814	F:/git/mop-archive.portal/mop-archive/mop-shoot.tauri.hu/templates/wowhead/js/Mapper7f73.js	(from https://mop-shoot.tauri.hu/?maps)
01:15:01	6654/6654	U-----	200	untouched ('')	application/javascript	etag:%22595b5ebd-19fe%22	https://mop-shoot.tauri.hu/templates/wowhead/js/maps.js?1499160253	F:/git/mop-archive.portal/mop-archive/mop-shoot.tauri.hu/templates/wowhead/js/maps5554.js	(from https://mop-shoot.tauri.hu/?maps)
01:15:01	0/0	---MC-	302	error ('Found')	text/html	date:Fri,%2016%20Feb%202024%2000:14:40%20GMT	https://mop-shoot.tauri.hu/?account=signup	F:/git/mop-archive.portal/mop-archive/mop-shoot.tauri.hu/indexda96.html	(from https://mop-shoot.tauri.hu/?pet-ability=1232)
01:15:21	335/335	U-----	200	untouched ('')	image/png	etag:%2258582c30-14f%22	https://mop-shoot.tauri.hu/templates/wowhead/images/map-pin-green.png	F:/git/mop-archive.portal/mop-archive/mop-shoot.tauri.hu/templates/wowhead/images/map-pin-green.png	(from https://mop-shoot.tauri.hu/templates/wowhead/css/Mapper.css?1486028025)
01:15:21	332/332	U-----	200	untouched ('')	image/png	etag:%2258582c30-14c%22	https://mop-shoot.tauri.hu/templates/wowhead/images/map-pin-yellow.png	F:/git/mop-archive.portal/mop-archive/mop-shoot.tauri.hu/templates/wowhead/images/map-pin-yellow.png	(from https://mop-shoot.tauri.hu/templates/wowhead/css/Mapper.css?1486028025)
01:15:22	331/331	U-----	200	untouched ('')	image/png	etag:%2258582c30-14b%22	https://mop-shoot.tauri.hu/templates/wowhead/images/map-pin-red.png	F:/git/mop-archive.portal/mop-archive/mop-shoot.tauri.hu/templates/wowhead/images/map-pin-red.png	(from https://mop-shoot.tauri.hu/templates/wowhead/css/Mapper.css?1486028025)
01:15:23	337/337	U-----	200	untouched ('')	image/png	etag:%2258582c30-151%22	https://mop-shoot.tauri.hu/templates/wowhead/images/map-pin-blue.png	F:/git/mop-archive.portal/mop-archive/mop-shoot.tauri.hu/templates/wowhead/images/map-pin-blue.png	(from https://mop-shoot.tauri.hu/templates/wowhead/css/Mapper.css?1486028025)
01:15:23	336/336	U-----	200	untouched ('')	image/png	etag:%2258582c30-150%22	https://mop-shoot.tauri.hu/templates/wowhead/images/map-pin-purple.png	F:/git/mop-archive.portal/mop-archive/mop-shoot.tauri.hu/templates/wowhead/images/map-pin-purple.png	(from https://mop-shoot.tauri.hu/templates/wowhead/css/Mapper.css?1486028025)
01:15:23	299/299	U-----	200	untouched ('')	image/png	etag:%2258582c30-12b%22	https://mop-shoot.tauri.hu/templates/wowhead/images/map-pin-gray.png	F:/git/mop-archive.portal/mop-archive/mop-shoot.tauri.hu/templates/wowhead/images/map-pin-gray.png	(from https://mop-shoot.tauri.hu/templates/wowhead/css/Mapper.css?1486028025)
01:15:23	2879/2879	U-----	200	untouched ('')	image/gif	etag:%2258582c2e-b3f%22	https://mop-shoot.tauri.hu/images/icons/dialog_icons.gif	F:/git/mop-archive.portal/mop-archive/mop-shoot.tauri.hu/images/icons/dialog_icons.gif	(from https://mop-shoot.tauri.hu/templates/wowhead/css/Mapper.css?1486028025)
